crs_score,date,immigration_program,invitations_issued,round_id
742,29-09-2021,Provincial Nominee Program,761,206
732,15-09-2021,Provincial Nominee Program,521,205
462,14-09-2021,Canadian Experience Class,2000,204
764,01-09-2021,Provincial Nominee Program,635,203
403,19-08-2021,Canadian Experience Class,3000,202
751,18-08-2021,Provincial Nominee Program,463,201
404,05-08-2021,Canadian Experience Class,3000,200
760,04-08-2021,Provincial Nominee Program,512,199
357,22-07-2021,Canadian Experience Class,4500,198
734,21-07-2021,Provincial Nominee Program,462,197
369,08-07-2021,Canadian Experience Class,4500,196
760,07-07-2021,Provincial Nominee Program,627,195
357,24-06-2021,Canadian Experience Class,6000,194
742,23-06-2021,Provincial Nominee Program,1002,193
368,10-06-2021,Canadian Experience Class,6000,192
711,09-06-2021,Provincial Nominee Program,940,191
380,31-05-2021,Canadian Experience Class,5956,190
713,26-05-2021,Provincial Nominee Program,500,189
397,20-05-2021,Canadian Experience Class,1842,188
401,13-05-2021,Canadian Experience Class,4147,187
752,12-05-2021,Provincial Nominee Program,557,186
400,29-04-2021,Canadian Experience Class,6000,185
717,28-04-2021,Provincial Nominee Program,381,184
417,15-04-2021,Canadian Experience Class,6000,183
753,14-04-2021,Provincial Nominee Program,266,182
432,1-04-2021,Canadian Experience Class,5000,181
778,31-03-2021,Provincial Nominee Program,284,180
449,18-03-2021,Canadian Experience Class,5000,179
682,17-03-2021,Provincial Nominee Program,183,178
739,08-03-2021,Provincial Nominee Program,671,177
75,13-02-2021,Canadian Experience Class,27332,176
720,10-02-2021,Provincial Nominee Program,654,175
454,21-01-2021,Canadian Experience Class,4626,174
741,20-01-2021,Provincial Nominee Class,374,173
461,7-01-2021,Canadian Experience Class,4750,172
813,6-01-2021,Provincial Nominee Program,250,171
468,23-12-2020,No program specified,5000,170
469,09-12-2020,No program specified,5000,169
469,25-11-2020,No program specified,5000,168
472,18-11-2020,No program specified,5000,167
478,05-11-2020,No program specified,4500,166
471,14-10-2020,No program specified,4500,165
471,30-09-2020,No program specified,4200,164
472,16-09-2020,No program specified,4200,163
475,02-09-2020,No program specified,4200,162
454,20-08-2020,Canadian Experience Class,3300,161
771,19-08-2020,Provincial Nominee Program,600,160
415,06-08-2020,Federal Skilled Trades,250,159
476,05-08-2020,No program specified,3900,158
445,23-07-2020,Canadian Experience Class,3343,157
687,22-07-2020,Provincial Nominee Program,557,156
478,08-07-2020,No program specified,3900,155
431,25-06-2020,Canadian Experience Class,3508,154
696,24-06-2020,Provincial Nominee Program,392,153
437,11-06-2020,Canadian Experience Class,3559,152
743,10-06-2020,Provincial Nominee Program,341,151
440,28-05-2020,Canadian Experience Class,3515,150
757,27-05-2020,Provincial Nominee Program,385,149
447,14-05-2020,Canadian Experience Class,3371,148
718,13-05-2020,Provincial Nominee Program,529,147
452,30-04-2020,Canadian Experience Class,3311,146
692,29-04-2020,Provincial Nominee Program,589,145
455,16-04-2020,Canadian Experience Class,3782,144
808,15-04-2020,Provincial Nominee Program,118,143
464,09-04-2020,Canadian Experience Class,3294,142
698,09-04-2020,Provincial Nominee Program,606,141
467,23-03-2020,Canadian Experience Class,3232,140
720,18-03-2020,Provincial Nominee Program,668,139
471,04-03-2020,No program specified,3900,138
470,19-02-2020,No program specified,4500,137
472,05-02-2020,No program specified,3500,136
471,22-01-2020,No program specified,3400,135
473,08-01-2020,No program specified,3400,134
469,19-12-2019,No program specified,3200,133
472,11-12-2019,No program specified,3200,132
471,27-11-2019,No program specified,3600,131
472,13-11-2019,No program specified,3600,130
475,30-10-2019,No program specified,3900,129
357,16-10-2019,Federal Skilled Trades,500,128
464,02-10-2019,No program specified,3900,127
462,18-09-2019,No program specified,3600,126
463,04-09-2019,No program specified,3600,125
457,20-08-2019,No program specified,3600,124
466,12-08-2019,No program specified,3600,123
459,24-07-2019,No program specified,3600,122
460,10-07-2019,No program specified,3600,121
462,26-06-2019,No program specified,3350,120
465,12-06-2019,No program specified,3350,119
470,29-05-2019,No program specified,3350,118
332,15-05-2019,Federal Skilled Trades,500,117
450,01-05-2019,No program specified,3350,116
451,17-04-2019,No program specified,3350,115
451,03-04-2019,No program specified,3350,114
452,20-03-2019,No program specified,3350,113
454,06-03-2019,No program specified,3350,112
457,20-02-2019,No program specified,3350,111
438,30-01-2019,No program specified,3350,110
443,23-01-2019,No program specified,3900,109
449,09-01-2019,No program specified,3900,108
439,19-12-2018,No program specified,3900,107
445,12-12-2018,No program specified,3900,106
445,28-11-2018,No program specified,3900,105
449,14-11-2018,No program specified,3900,104
442,29-10-2018,No program specified,3900,103
